nombre,direccion,edad,curp,ine_clave,seccion_id,confidence_score,apellido_paterno,apellido_materno,telefono,calle,colonia,municipio,cp
"Vicente Korta hernandez Correa Rico Marrero","Rincón Cristian 176 Esc. 664","31","MMW4AUR9WIHETV3Q6W","FZGKX4DVHYG3BEDCAD","502","1","Korta hernandez Correa","Rico Marrero","5071-292-656","Poblado Rodrigo Corrales","Terrenos Renata 764","Querétaro","55940"
"Mariana Alarcón Vásquez Salazar Martínez","Grupo María del Carmen Osorio, 72 Edificio 1","72","UIU9WSU6RL9BMHSTUN","GHTDQDOZVNGSJERY5J","536","1","Alarcón Vásquez","Salazar Martínez","542 478 045","Municipio Jaime","Edificio Felipe, 5","Querétaro","94211"
"Clemente Velasco de Zúñiga Yami Parra","Carretera Yaretzi 14 Puerta 960","66","YHDVLA3MQLLALGFYQN","VTADAZ2UCDCMCYRQIM","547","1","Velasco de Zúñiga","Yami Parra","572 340 132","Monte Anita","Rincón Ana Santillán, 76","Querétaro","93027"
"Luis Ángel Cedillo Zambrana Ulloa Nazario","Vía Pública San Miguel 1166 Puerta 549","32","R4MOAWOOH9BJC3O8QF","WMOQUAOYR8PWGTGOPQ","511","1","Cedillo Zambrana","Ulloa Nazario","5532-078-169","Paseo Víctor Zabaleta","Calle Jalisco, 53","Querétaro","63004"
"Claudia Espino de Páez Zaragoza de Ordóñez","Avenida Balcón de los edecanes 9843 Edificio 3","60","Z4NPUJ1PRNZVDNVYRZ","YN918TINLSU9UIOEOB","509","1","Espino de Páez","Zaragoza de Ordóñez","569.554.940","Arrabal Flor Solvestre","Camino Piedra del Comal s/n.","Querétaro","06094"
"María Cristina Zapata Madrid Velasco Echevarría","Calleja La viga 8 Puerta 168","66","9GV8TZ1MGTVCWOVDS0","TGBXHFQF8UBCLYU5T0","541","1","Zapata Madrid","Velasco Echevarría","505.533.581","Puente Esmeralda","Solar Estefanía 9","Querétaro","55910"
"Inés Razo Menéndez Llamas Granados","Pasaje Alicia Herrera, 95 Edificio 3","89","7BISP8W5RGPNNWJNES","LSYYHJMM0FVNDMXMNN","524","1","Razo Menéndez","Llamas Granados","5982-740-057","Vía María Fernanda Xairo Belmonte","Edificio Alexander 93","Querétaro","68926"
"Ana Luisa Bustamante Nazario Kranz sans Duran","Subida Alicia, 7 Esc. 414","40","USXT8LICOSZ8YQQE45","CSFQLKVXAUVN28708C","521","1","Bustamante Nazario","Kranz sans Duran","585654262","Riera Sofia Mota","Lugar Cinco de Mayo s/n.","Querétaro","93622"
"Estela Rivera Valdez Reyna Holguín","Huerta Coruña s/n. Puerta 517","43","Q8EEHBO07PCTWVKK2P","CVVKDUMDZERXX1FRFQ","524","1","Rivera Valdez","Reyna Holguín","541 241 940","Rua Calimaya","Colonia Alexis Abreu 4","Querétaro","77990"
"Ximena Escobedo Cabrera Valdivia Villa","Barranco Jacobo de Jesús s/n. Esc. 228","21","GTT9E8C8IF82D9N3IF","5NPDZ8HPWRPV7UL46Z","503","1","Escobedo Cabrera","Valdivia Villa","535 990 232","Torrente Miguel Ángel de Quevedo","Colonia Alejandro s/n.","Querétaro","60858"
"Israel Carrera Ruiz Haro Contreras","Vía Pública Ramón Samaniego 20 Esc. 146","70","AKSXUSAEVPWXQNKMJB","D3CLAS7REOBVKZMCMT","507","1","Carrera Ruiz","Haro Contreras","524.466.830","Vía Pública Gilberto","Arroyo María Soledad 464","Querétaro","85598"
"Sebastian Hernández Jaimes Polanco Olivo","Prolongación Izazaga 65 Edificio 9","31","HD30I5360V5SA6UXPZ","Q0ZI9FSJ88X5MYFXHJ","510","1","Hernández Jaimes","Polanco Olivo","5554-917-120","Rincón Elena","Rambla Yolanda Ñañez, 68","Querétaro","68253"
"Catalina Arce Palomo Robles de Vela","Poblado Coyoacán, 8 Edificio 6","43","WFK5LNSD4IWEYGKLUM","KHJQAF9A5EUQTSLMSL","511","1","Arce Palomo","Robles de Vela","5429-537-959","Conjunto Florencia","Rampa Raúl s/n.","Querétaro","41065"
"Alfredo Kyra Laureano Cepeda Rentería","Poblado Flor Marina s/n. Puerta 940","33","DAUHMB2OGZ2V6M09RE","E8MTWDJSZ8VDOICUHK","515","1","Kyra Laureano","Cepeda Rentería","593 271 139","Edificio Miguel Ángel de Quevedo","Camino Amores 925","Querétaro","34761"
"Marisol Garay Matos Gálvez Villareal","Paseo Alexa Monroy 98 Puerta 311","86","M2FYXJV46QISGNTIYS","MNGZRWVGDVRCG1Z4QR","516","1","Garay Matos","Gálvez Villareal","5882-887-284","Mercado María Teresa","Glorieta José María 7","Querétaro","66078"
"Catalina Covarrubias Rivero Echevarría Vera","Solar Adela, 4 Edificio 1","73","KKFUKRS7WLQWAMMUQR","NNBUPHBFL8NVH7LPBK","536","1","Covarrubias Rivero","Echevarría Vera","538688120","Polígono José","Puente Jalisco 65","Querétaro","92439"
"Ana Salgado Lebrón Ávalos de Kamat","Calleja Repúplica de Argentina 78 Esc. 791","41","C34SU5NDMLD1FAHVZ8","UMTTAL99WX53WLMDHT","515","1","Salgado Lebrón","Ávalos de Kamat","583.152.806","Puente Dorotea Estrada","Poblado Octavio, 9","Querétaro","86616"
"Jorge Luis Rincón de Roybal Arteaga Almaraz","Subida Juana Montez 4135 Puerta 636","74","2E983NSIGIFCIAT130","FA0EB73SGPPCZUWWPU","545","1","Rincón de Roybal","Arteaga Almaraz","586.298.284","Escalinata Axel","Colonia Sofia 513","Querétaro","95818"
"Anita Bonilla Espinal Guillen Gamez","Polígono Isabel la Católica, 64 Puerta 658","73","GP35SYR9PNFFS05CAM","4VTUUTYIA5ZLPAGRCT","515","1","Bonilla Espinal","Guillen Gamez","5181-602-882","Extramuros Elena Huerta","Conjunto Jorge Luis 700","Querétaro","75498"
"Abril Kara Duran Robledo Olvera","Calle Flor Marina, 86 Edificio 9","83","OCMNUQWDF8OFNGJ9K5","WPLNIRYRMJ6EUUIHXJ","511","1","Kara Duran","Robledo Olvera","597.486.467","Bajada Manzanares","Avenida Gilberto 3","Querétaro","60514"
"Brandon Tamayo Farías Cano Zamarripa","Vía Pública Antonia Avilés 131 Esc. 849","18","BHUJRPY3WFYCI207IF","3XMAYR25CGNPBQBAFW","550","1","Tamayo Farías","Cano Zamarripa","599.931.581","Riera Ana María Espino","Riera Zapata 68","Querétaro","45307"
"Gregorio Palomino Cardona Valle Ybarra","Apartamento Irene 52 Puerta 429","54","YLW2YMNEIQ0ELIDBIG","XZSSAUCS5C0DV554RK","505","1","Palomino Cardona","Valle Ybarra","594.279.868","Grupo Juárez","Barranco Silvia Aragón 97","Querétaro","92438"
"Camila Zapata Lomeli Trujillo Quiñones","Parcela Naomi Delrío 220 Puerta 357","69","T0WUS1RWESJCR4PRU2","EBBPWOI1U2FUA4W3SL","506","1","Zapata Lomeli","Trujillo Quiñones","577 559 432","Colegio Rebeca","Bloque Isaias s/n.","Querétaro","31984"
"Felipe Rodarte Lira Martínez Caraballo","Escalinata Susana 3540 Puerta 209","87","EBIOZ3M2W3GOA0VCMJ","4UMNNCE86GLLPMYCNT","540","1","Rodarte Lira","Martínez Caraballo","547720631","Glorieta Susana Solís","Travesía Alexis Quintana 3592","Querétaro","93667"
"María Soledad Sandoval Ávila Terrazas Alarcón","Muelle Victoria Guerra, 8 Puerta 898","18","ZXGGFUWKO6MHMPDYTG","OH3RDDRMCFDQC74SHO","534","1","Sandoval Ávila","Terrazas Alarcón","577 668 888","Escalinata Polotitlan","Chalet Eje 6, 90","Querétaro","81156"
"Ivanna Casas Vanegas Espinosa Zúñiga","Partida Melissa Palomino 740 Esc. 310","67","LEHTAE1O9WSTUYKQT9","IROLTDLUHKMHOO6XOF","506","1","Casas Vanegas","Espinosa Zúñiga","507279768","Partida Barrio la Lonja","Arroyo Pedro Yáñez, 41","Querétaro","30629"
"Israel Pérez Páez Farías Jaimes","Sector Jacobo 9144 Puerta 228","46","RFSOVFQO6QGTQMMWZZ","JBSSE8NT58PFJLNREC","520","1","Pérez Páez","Farías Jaimes","5110-272-293","Caserio Irene Ornelas","Quinta Carla Yami 8","Querétaro","76032"
"María Guadalupe Salas Caraballo Paredes Rangel","Calleja Alan s/n. Edificio 8","29","BU04COMMOBIIPE2MKJ","C2GZEENNIPO5OXONQA","506","1","Salas Caraballo","Paredes Rangel","5138-623-399","Ramal Mariana","Grupo Clemente 2","Querétaro","64591"
"Ernesto Cerda Mares Mora Gonzales","Puente Manzanares s/n. Edificio 8","41","ZF2HFLNBHFRPCJSXEU","ZXUJEPY2WQCR3R6GBJ","531","1","Cerda Mares","Mora Gonzales","5087-681-168","Torrente Ernesto Zayas","Carretera Jennifer 285","Querétaro","38840"
"Octavio Korta hernandez Armendáriz Ocasio Fuentes","Extrarradio Miguel Ángel Valverde, 2 Puerta 980","53","CRTPWBMQYBPTA9SAQF","0XHSDOYI4KOKDNKRHS","520","1","Korta hernandez Armendáriz","Ocasio Fuentes","585 077 365","Conjunto Natalia","Avenida Rocio, 8","Querétaro","59747"
"Salvador Pedraza Prado Ochoa Ávalos","Extrarradio Batalla de Naco 50 Puerta 469","40","CWEYPIMAKYLNC29WXZ","WJLXIAC7DYWRCQX4SS","548","1","Pedraza Prado","Ochoa Ávalos","5019-512-760","Subida Jicolapa","Riera Hernán s/n.","Querétaro","71421"
"Alejandro Enríquez Botello Colón Mora","Urbanización Batalla de Naco s/n. Esc. 233","74","DQMLZAILWTO8MZG5E6","DVJRDPNC7JZX2YZI5C","545","1","Enríquez Botello","Colón Mora","598 384 802","Ronda Izazaga","Avenida Alberto s/n.","Querétaro","72459"
"Daniela Matos Quintero cruz Cordero Feliciano","Puerta Elsa, 34 Esc. 688","87","C50OLOGOWNY2RW4HD6","YUCECPVITX4ITPLL7H","527","1","Matos Quintero cruz","Cordero Feliciano","579 122 924","Poblado Barrio la Lonja","Lado Flor Solvestre, 4","Querétaro","70241"
"José Emilio Zelaya de Carrera Pantoja Manzanares","Ronda Elena 119 Esc. 210","24","GL393UXTKCV09J3ESC","QF6LAILJRF4UDRHW0N","539","1","Zelaya de Carrera","Pantoja Manzanares","516341070","Rincón César Villegas","Rambla José Eduardo Flórez, 72","Querétaro","80830"
"Carlos Carmona de Mayorga Carmona Perea","Bajada José Luis Aguayo 153 Esc. 706","76","RDTQWONMR3MWJTPYQS","RMDXA2VKW8MQSSNA50","508","1","Carmona de Mayorga","Carmona Perea","507.915.979","Cuesta Lizbeth Maestas","Solar Estela Arias, 43","Querétaro","26617"
"David Zepeda de Padrón Salcido Vergara","Lado Piedra del Comal 96 Esc. 353","40","PVPPCPBDTVK9DJ24R0","6YPJBIJPLEDZKRPA7U","518","1","Zepeda de Padrón","Salcido Vergara","5501-226-162","Arrabal Olivia","Puerta Joaquín Olvera 586","Querétaro","87117"
"María Eugenia Sosa de Canales Mejía Puga","Monte Avena 5644 Esc. 176","76","XSBIAXNR5WCPDAN1HK","XPXASE2IOTPTNMKSW1","540","1","Sosa de Canales","Mejía Puga","549435144","Partida Avena","Lado Pilar Rael, 4","Querétaro","70673"
"Israel Vergara de Caldera Arenas Balderas","Puerta Carlos Maya 80 Edificio 4","20","VRAHXICZ6RO7WUZ6WK","9277XPWSETE08OVAYV","531","1","Vergara de Caldera","Arenas Balderas","585 662 945","Explanada Repúplica de Cuba","Municipio Alicia Becerra 1","Querétaro","15645"
"Óscar Puente de Santana Brito Xicoy","Ronda Luisa Menéndez s/n. Esc. 864","89","A8BABCTWDINLLSTNSN","KX0ZZLVER6RRRHNK4L","514","1","Puente de Santana","Brito Xicoy","5233-166-508","Chalet Eje Central","Glorieta Fernando 4469","Querétaro","44625"
"Teodoro Amador Samaniego Hernádez Botello","Solar Magdalena 407 Puerta 536","19","TPE82MN7HE9DW0MDYD","C2QOLEPEUYW8NYDNLP","532","1","Amador Samaniego","Hernádez Botello","519550511","Lugar Repúplica de Chile","Arroyo Francisco I. Madero 2","Querétaro","20766"
"María de Jesús Cervantes Oquendo Monroy Kaplan","Calle Kimberly Rivero s/n. Esc. 933","33","2SJP9L7IPZD2BFLD0Z","IOFOFWNTXVBLS9WBXT","540","1","Cervantes Oquendo","Monroy Kaplan","586.529.451","Puente Flor Solvestre","Extrarradio Virginia 65","Querétaro","72802"
"Blanca Sepúlveda de Urrutia Meza de Olvera","Vía Pública Sancho Tejada 754 Edificio 4","66","QAUVE7TNGQO020QUUS","JZCBVQWBCJ0A6KGEA0","523","1","Sepúlveda de Urrutia","Meza de Olvera","539834904","Municipio Piedra del Comal","Camino Coyoacán, 4","Querétaro","35744"
"Caridad Pulido Ballesteros Kanaria Lovato","Aldea Aniceto Ortega 8 Edificio 3","76","O2LYSN1RUN3KID4IPS","QHJGOQRGX8PTQODB4V","503","1","Pulido Ballesteros","Kanaria Lovato","549.659.498","Barranco Gabriel","Vía Pública Francisco I. Madero 631","Querétaro","94243"
"Gabriel Vallejo Briseño Montero Guardado","Solar Repúplica de Argentina, 68 Edificio 6","60","MLBKPXYJDABM5POQEH","ZDIMQJGJKVS2PL1KQD","529","1","Vallejo Briseño","Montero Guardado","509 014 236","Lugar Pablo Godínez","Solar Julio 226","Querétaro","59451"
"Nicole Valenzuela Rodarte Razo Noriega","Prolongación Balcón de los edecanes, 29 Esc. 301","85","OAW2HTS7GQNISNA27B","XCE4U9ZYZEBDMH5FSI","507","1","Valenzuela Rodarte","Razo Noriega","502680866","Apartamento Estela","Calle Isaac 7","Querétaro","08241"
"Monserrat Zaragoza Manzanares Zúñiga Barraza","Jardines Ramiro Cardona 62 Esc. 349","54","G1UIKGB1EFRW9DSTLA","FQOHXPUW1PDKQEBU27","545","1","Zaragoza Manzanares","Zúñiga Barraza","5954-112-017","Caserio Miranda","Pasaje Miranda, 17","Querétaro","98112"
"Emilia Porras Palomo Olmos Arreola","Ferrocarril Flor Solvestre, 48 Edificio 1","41","EQ5W5T0MAVF7B0C6Z9","JKIMRDYYFS2Q9WMBUH","507","1","Porras Palomo","Olmos Arreola","598646738","Calleja Yolanda Gutiérrez","Subida Isabel la Católica 12","Querétaro","93801"
"Susana Menchaca Leiva Nieves Alcala","Extramuros Eje 6 72 Esc. 231","81","TWFPDFXSY883YIASID","JN80F3NP4JZEQQZK0H","537","1","Menchaca Leiva","Nieves Alcala","5319-060-625","Glorieta Repúplica de Argentina","Manzana José María 38","Querétaro","90192"
"Estela Hernádez Olivera Villaseñor Viera","Rambla Yaretzi 666 Puerta 423","21","NN6HAZHZ1JQ4PWDXF4","TRYVPOXFQ7M2HBZ5NV","541","1","Hernádez Olivera","Villaseñor Viera","540.530.172","Grupo Polotitlan","Calleja Repúplica de Uruguay s/n.","Querétaro","07229"
"Diana Kuzmina Llamas Luna Arias","Quinta Polotitlan, 78 Puerta 664","23","VJIDXUOKS9VZNDNCMZ","SQPFS5R2U8LPG486AC","543","1","Kuzmina Llamas","Luna Arias","584149099","Puerta Miranda Robles","Masía Francisco I. Madero 399","Querétaro","92096"
"Marcos Tafoya Espinoza Gómez Esparza","Quinta Micaela 9 Esc. 934","47","EC9OC5U5Q6X6SCJRHG","K2MUET2LRJ6JTQRRBV","539","1","Tafoya Espinoza","Gómez Esparza","569 893 833","Ronda Carlota Paz","Grupo Diana, 4","Querétaro","16182"
"Mariana Arguello Cardona Bernal de Guerra","Aldea Kevin Murillo 533 Esc. 323","37","HOCIVADGPV5OZOR0CC","RVXOBRCC1ESFD8QPMH","533","1","Arguello Cardona","Bernal de Guerra","570 641 794","Rampa Coyoacán","Camino Cinco de Mayo 4","Querétaro","65910"
"Anita Gastélum Terrazas Muro Ramírez","Apartamento Eje 5, 8 Puerta 897","28","XAGHFYR02E3JCZRPAU","MDCR1ZSWW11TV0XZCX","546","1","Gastélum Terrazas","Muro Ramírez","5606-912-547","Caserio Zoe Loya","Municipio Izazaga 1406","Querétaro","64651"
"Marcela Correa Figueroa Prado Gamez","Quinta Verónica Téllez 19 Esc. 446","49","MA24J0FCRBILGB0BYC","BACJGEKGRGXBS3YC5G","506","1","Correa Figueroa","Prado Gamez","542 918 417","Ronda Coyoacán","Carretera La otra banda 3","Querétaro","58911"
"Sebastian Rico Korta Peralta Armendáriz","Mercado Óscar Montes s/n. Esc. 613","88","MGHAXOEQORFATNN0BE","BM7VB5AWESUSDVJXLL","532","1","Rico Korta","Peralta Armendáriz","5216-101-857","Jardines Jicolapa","Escalinata Repúplica de Cuba, 7","Querétaro","95141"
"Elías Bonilla Villaseñor Barajas Vallejo","Colegio Gilberto 33 Edificio 6","34","EUXXAIK53HSGZPCA3E","OKIV14CNNUVLFEL9CQ","515","1","Bonilla Villaseñor","Barajas Vallejo","5164-922-215","Sección Zapata","Caserio Ana Victoria Vázquez 3","Querétaro","38994"
"Dorotea Méndez de Orta Villanueva Olivares","Rambla Claudia 691 Edificio 9","80","J8D9XNENJJUNFDGKAR","YMPXBJJZEU3KJVIRIW","520","1","Méndez de Orta","Villanueva Olivares","570 344 339","Quinta Clara Ceja","Rambla Felipe 8683","Querétaro","48091"
"Claudia Villa de López Avilés Guillen","Edificio Sonia 7878 Esc. 110","71","M2UT33ZYQB1G1AXLYZ","UZK1632XZECWWRTJTR","501","1","Villa de López","Avilés Guillen","517 144 978","Puente Germán","Caserio Amores, 4","Querétaro","78570"
"Pilar Ñañez Xairo Belmonte Tamez Medrano","Huerta Repúplica de Cuba 927 Puerta 990","73","QW1EOGMSYO86BMSD34","Y3Z1EOBAEVZIHIUL8V","542","1","Ñañez Xairo Belmonte","Tamez Medrano","5921-152-594","Pasaje Bernardo Ceballos","Puerta Piedra del Comal, 31","Querétaro","83829"
"Laura Moya de Garza Longoria de Suárez","Avenida Patricio s/n. Esc. 992","64","XPZH2LJ025FEI32GMG","PHMPN2K7YMVYPG8WRZ","520","1","Moya de Garza","Longoria de Suárez","590.210.878","Ferrocarril Marta Casas","Ronda La viga 64","Querétaro","23498"
"Nicolás Lebrón Collazo Cardenas Santana","Lado Eje 5 71 Puerta 862","38","ZBXVTLZEZWOMWGYULF","DBYTYYCISN2B8RJ7QS","519","1","Lebrón Collazo","Cardenas Santana","511141143","Sector Kimberly Pabón","Parque Benjamín, 2","Querétaro","72770"
"Yamileth Polanco Trejo Ferrer de Coronado","Avenida Ana María Colón 754 Esc. 815","82","4H22OKWWOZU3CH12VU","VPAEHICMQQDNPKRTNS","545","1","Polanco Trejo","Ferrer de Coronado","5236-136-603","Sección María José Navarrete","Barranco Repúplica de Argentina 29","Querétaro","45481"
"Isabela Acuña Mondragón Quiñónez Magaña","Jardines Bernardo, 12 Edificio 4","18","BFTQF62RXKMUMJA4NS","FVER7WCZPJEHCVUWTJ","546","1","Acuña Mondragón","Quiñónez Magaña","526 611 320","Lugar Izazaga","Pasaje Abril, 9","Querétaro","19222"
"Juan Saucedo Maldonado Santillán Calvillo","Grupo Xochitl Villa 984 Puerta 997","31","HU4SFGILFDBHYPGZER","KQJAYRO8LUGSIEUU9F","501","1","Saucedo Maldonado","Santillán Calvillo","572780156","Puerta Cristobal Bonilla","Parque Carlos Orozco 9891","Querétaro","67550"
"Leonor Xacon Centeno Carrero Quintanilla","Ferrocarril Estela 37 Esc. 103","29","PPPZGMURBC1FPQVOJS","8E9FYMW7NXN1NSLXCB","525","1","Xacon Centeno","Carrero Quintanilla","551642739","Monte Cecilia","Salida Naranjo 570","Querétaro","92310"
"Julio Pabón de Ochoa Flores Arellano","Parcela Sancho s/n. Edificio 9","59","H5N6BCMUJTRCJMMOJD","NT482E9ODBAMQQGY5U","525","1","Pabón de Ochoa","Flores Arellano","523 022 362","Municipio Paola","Entrada José Miguel s/n.","Querétaro","44864"
"Victor Manuel Lerma Feliciano Solorzano Sepúlveda","Sección Maximiliano Gaytán 3349 Edificio 9","45","12QBPDRU7O26RW9NP9","ABNG1FAX2CJLG6PZ3I","537","1","Lerma Feliciano","Solorzano Sepúlveda","544 673 768","Bloque Luis Fernando Jurado","Avenida 20 de Noviembre 5276","Querétaro","06401"
"Abigail Pérez Urrutia Bétancourt Corrales","Polígono Alondra Romina 3 Edificio 9","42","XR7YNEBMY5DMQHDC8U","RSEPPGBHJBQUHHJGXT","521","1","Pérez Urrutia","Bétancourt Corrales","5381-022-503","Parque Flor Marina","Mercado Leticia 398","Querétaro","46130"
"Anita Partida Rolón Partida Loera","Huerta Sebastian, 28 Esc. 756","79","WBS92S1XOG90XNPZGS","RITK0Z1LZKNO6SRXHJ","517","1","Partida Rolón","Partida Loera","534.530.663","Bajada Repúplica de Chile","Mercado Mauricio 5779","Querétaro","16271"
"Gonzalo Páez Altamirano Adame Calvillo","Huerta Jose Daniel, 8 Edificio 4","58","9GHX8NSDUOF6EGSKFJ","VAFJSZEJKYTVDG0ETL","537","1","Páez Altamirano","Adame Calvillo","597 602 928","Carretera Eje 6","Lado Repúplica de Cuba, 5","Querétaro","37851"
"David Arellano Cedillo Delarosa Camarillo","Manzana Carmen Gracia 82 Edificio 2","48","YLV2OCBBKI9F8QHRZQ","ULWQASYTIAPWQUQKUZ","534","1","Arellano Cedillo","Delarosa Camarillo","516.572.805","Colegio Jorge Rivas","Jardines Pilar 48","Querétaro","69486"
"Pilar Sanabria Quinta Sierra Tórrez","Extramuros Ramona Sandoval 242 Puerta 184","73","3DB1DFGHQCJSUUML1D","KJFEDIIXDLL2AI6JRW","543","1","Sanabria Quinta","Sierra Tórrez","541.665.335","Poblado Silvia","Glorieta Ana 1","Querétaro","05064"
"Susana Nevárez Concepción Zavala Leal","Rambla Nicole Bravo 8383 Puerta 260","39","U41PIT6BJ7J6YXSCVE","PPVHUSGHIFVH1KHAAW","512","1","Nevárez Concepción","Zavala Leal","538652247","Terrenos Flor Solvestre","Bajada Alberto Venegas 13","Querétaro","60848"
"Hernán Verduzco Niño Cerda de Lucio","Puerta Gustavo Cedillo 2 Puerta 622","35","IDZHODD67IADZKGJHR","WTSDIHBGQ51GKVHBDB","505","1","Verduzco Niño","Cerda de Lucio","528.201.929","Vía José Luis","Urbanización Xochitl 312","Querétaro","72437"
"Germán Linares de Ortiz Tijerina Osorio","Rua Eje 5 4 Edificio 7","77","MHSVVGZEC3NG4I5MWF","AS0LT74AUJAOWYP9L0","524","1","Linares de Ortiz","Tijerina Osorio","526.118.988","Plaza Elsa Loera","Chalet Eje Central, 31","Querétaro","07135"
"Jazmin Monroy Rangel Castañeda Peres","Urbanización Naomi, 63 Puerta 834","85","CGFIEOD6KGDCPPRP1E","PMHN0IVVAOBNQKNDLJ","512","1","Monroy Rangel","Castañeda Peres","599.867.653","Manzana Leonardo Caldera","Vía Pública Juárez, 7","Querétaro","21607"
"Ximena Escalante Montañez Viera Olivo","Colonia Josefina Valdez 7612 Puerta 737","53","Z6AU1KVSG1KQNVXD9I","ISPGM0AIJAEHFL6HE7","536","1","Escalante Montañez","Viera Olivo","531 422 766","Huerta María Elena","Quinta Rafael 3778","Querétaro","53204"
"Axel Terrazas Soria Menchaca Amador","Gran Subida Germán Hurtado s/n. Edificio 8","62","SJ1ESKVKXYHUJVWWIT","T6LZORPUOD3AJVFGRQ","544","1","Terrazas Soria","Menchaca Amador","535428794","Huerta Aniceto Ortega","Mercado Flor Solvestre 77","Querétaro","11224"
"Octavio Pagan Sandoval Vázquez Quiros","Chalet Uriel, 1 Esc. 740","57","QMS5DYCXVYWZSV3YVW","WIKQQAOZA33RUNSOFO","522","1","Pagan Sandoval","Vázquez Quiros","568.272.368","Bajada Clara","Urbanización Coruña 3272","Querétaro","59638"
"Axel Burgos Chavarría Zamudio Jiménez","Ramal Lizbeth 6113 Edificio 7","27","CU1AHOZMAPJGDMLKYA","4YNBQYHFIHBOIQJH94","527","1","Burgos Chavarría","Zamudio Jiménez","520.628.453","Rambla Luis Fernando","Partida Alfonso Berríos 10","Querétaro","07516"
"Valentina Mares Calvillo Delao Alonzo","Quinta Mayte, 3 Esc. 907","38","J0C5A8EIYVZDJMQ8UV","2UICIHXLBDLRXEAELH","545","1","Mares Calvillo","Delao Alonzo","526.906.055","Camino Cedro","Plaza Aniceto Ortega 15","Querétaro","43550"
"Maximiliano Escalante de Miramontes Gracia Alba","Urbanización Eje 6 s/n. Esc. 435","74","PGOPZZOWL2LBGZFIEP","NCRQITFNO4XK9F0UMV","528","1","Escalante de Miramontes","Gracia Alba","500.247.360","Cuesta Repúplica de Cuba","Polígono La viga 66","Querétaro","10024"
"Dulce María Hernández Lomeli Vergara Luna","Calleja Gregorio, 8 Puerta 557","84","N0K5EMGMJVESJRYMT2","H1Q4IXR7HEYNKIAMAA","534","1","Hernández Lomeli","Vergara Luna","594 140 463","Barrio Manuel Sisneros","Vía José Luis Téllez, 18","Querétaro","25469"
"Silvia Solorzano Magaña Arteaga de Marrero","Puerta Manzanares 97 Esc. 469","73","EZGECBHSPLBVVS55YG","VWAYVM0LEKSLJTOQZT","522","1","Solorzano Magaña","Arteaga de Marrero","573 148 029","Escalinata Jimena","Ferrocarril Enrique Roldán 99","Querétaro","49012"
"Jorge Flores Nazario Korta hernandez Avilés","Extrarradio Marisol 56 Puerta 859","87","SOJNTMI173C2ZMXYKS","SGWJS7LAWSYTSTPN1T","542","1","Flores Nazario","Korta hernandez Avilés","516 681 745","Rambla Homero","Subida Araceli, 4","Querétaro","74934"
"José Miguel Arreola Valle García Ballesteros","Caserio Cristian Adame, 66 Esc. 566","65","MUBJDNJ4NUEINOEUUB","WMMD4FJ6GZZJXE1F03","506","1","Arreola Valle","García Ballesteros","5114-225-521","Apartamento Emilia Valles","Rambla Flor Marina 9","Querétaro","88492"
"José Eduardo Rosales Narváez Osorio Cabán","Monte Adán 437 Edificio 2","79","JO1HS5CZJKRWGD8YBN","J3Y6DEG0DJXFWPURDX","545","1","Rosales Narváez","Osorio Cabán","554.669.198","Carretera Melany Delgado","Monte Irene 99","Querétaro","51192"
"Tomás Zamarripa Negrete Vera Pulido","Colegio Kimberly 34 Puerta 152","23","EDXJT2FL5VMXGTLQFL","IQXXO88KTCCJ2GST8J","547","1","Zamarripa Negrete","Vera Pulido","554.281.724","Bloque La viga","Gran Subida Damián 957","Querétaro","20589"
"Raquel Garibay Anaya Razo Hinojosa","Salida Cedro 48 Puerta 928","52","CG1AGWYB3VNVN1TN9T","ZBOGJHM96WCCYRVOCJ","534","1","Garibay Anaya","Razo Hinojosa","523.699.149","Escalinata Zapata","Bajada Tadeo 3","Querétaro","76605"
"Pedro Navarro Quintero de la cruz Alba Quintero","Parcela Miguel Ángel Gaona 57 Esc. 540","50","840JHXBPUFHIH0AKYJ","KB2H3JV2QDPZNDEQYC","519","1","Navarro Quintero de la cruz","Alba Quintero","517 890 389","Ronda Amores","Explanada Repúplica de Uruguay, 63","Querétaro","53505"
"Elizabeth Solís Esparza Ceja Roybal","Partida Sonia Delatorre s/n. Puerta 738","75","CA8TJNCEPURSJGOWAQ","6WC7JWYHSLSSYRHAJW","545","1","Solís Esparza","Ceja Roybal","5853-384-767","Carretera Ivanna Armijo","Vía Pública Erick Villareal 6","Querétaro","51608"
"Ana Sofía Frías Fierro Vargas Deleón","Ramal Javier Salcido 48 Puerta 457","88","WWQGFDO8KD6967RBXA","9HQHTRZCVOIMX5CBBQ","513","1","Frías Fierro","Vargas Deleón","504.719.724","Parcela Daniel Salcido","Paseo Micaela, 20","Querétaro","30907"
"Jennifer Ontiveros Alejandro Alcaraz Rodrígez","Escalinata Francisco I. Madero 8005 Edificio 3","30","8WGQEXAW0V8GOJ0USR","USGB6TJKPKIWURXBIX","524","1","Ontiveros Alejandro","Alcaraz Rodrígez","505271685","Arrabal Arturo Marrero","Travesía Naomi Arellano 327","Querétaro","41706"
